Organization,Availability,Division,SystemType,Platform,Model,MlperfModel,Scenario,Result,Accuracy,Location
Inspur,available,open,edge,T4x1_TRT,resnet50,resnet,Offline,12955.5,75.856,open/Inspur/results/T4x1_TRT/resnet50/Offline
Inspur,available,open,edge,T4x1_TRT,resnet50,resnet,SingleStream,0.660157,75.856,open/Inspur/results/T4x1_TRT/resnet50/SingleStream
Inspur,on-premise,open,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Offline,549782.0,75.856,open/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Offline
Inspur,on-premise,open,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Server,420097.36,75.856,open/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Server
Inspur,available,open,datacenter,T4x20_TRT,resnet50,resnet,Offline,259448.0,75.856,open/Inspur/results/T4x20_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x20_TRT,resnet50,resnet,Server,190027.38,75.856,open/Inspur/results/T4x20_TRT/resnet50/Server
Inspur,on-premise,open,datacenter,A100-PCIex8_TRT,resnet50,resnet,Offline,298098.0,75.856,open/Inspur/results/A100-PCIex8_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x8_TRT,resnet50,resnet,Offline,102224.0,75.856,open/Inspur/results/T4x8_TRT/resnet50/Offline
Inspur,available,open,datacenter,T4x8_TRT,resnet50,resnet,Server,90015.51,75.856,open/Inspur/results/T4x8_TRT/resnet50/Server
Inspur,on-premise,open,edge,DGX-A100_A100-SXM4x1_TRT,resnet50,resnet,Offline,68994.6,75.856,open/Inspur/results/DGX-A100_A100-SXM4x1_TRT/resnet50/Offline
Inspur,on-premise,open,edge,DGX-A100_A100-SXM4x1_TRT,resnet50,resnet,SingleStream,0.408267,75.858,open/Inspur/results/DGX-A100_A100-SXM4x1_TRT/resnet50/SingleStream
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99.9,3d-unet-99.9,Offline,7.43324,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99.9/Offline
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99.9,3d-unet-99.9,SingleStream,153.653216,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99.9/SingleStream
Inspur,available,closed,edge,T4x1_TRT,bert-99,bert-99,Offline,443.696,90.43326524910879,closed/Inspur/results/T4x1_TRT/bert-99/Offline
Inspur,available,closed,edge,T4x1_TRT,bert-99,bert-99,SingleStream,6.245274,90.39787134425293,closed/Inspur/results/T4x1_TRT/bert-99/SingleStream
Inspur,available,closed,edge,T4x1_TRT,rnnt,rnnt,Offline,1500.4,92.55225596969493,closed/Inspur/results/T4x1_TRT/rnnt/Offline
Inspur,available,closed,edge,T4x1_TRT,rnnt,rnnt,SingleStream,64.227088,92.56127533879005,closed/Inspur/results/T4x1_TRT/rnnt/SingleStream
Inspur,available,closed,edge,T4x1_TRT,ssd-resnet34,ssd-large,Offline,139.908,20.111,closed/Inspur/results/T4x1_TRT/ssd-resnet34/Offline
Inspur,available,closed,edge,T4x1_TRT,ssd-resnet34,ssd-large,SingleStream,8.216706,20.111,closed/Inspur/results/T4x1_TRT/ssd-resnet34/SingleStream
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99,3d-unet-99,Offline,7.43324,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99/Offline
Inspur,available,closed,edge,T4x1_TRT,3d-unet-99,3d-unet-99,SingleStream,153.653216,0.85367,closed/Inspur/results/T4x1_TRT/3d-unet-99/SingleStream
Inspur,available,closed,edge,T4x1_TRT,resnet50,resnet,Offline,6205.14,75.920,closed/Inspur/results/T4x1_TRT/resnet50/Offline
Inspur,available,closed,edge,T4x1_TRT,resnet50,resnet,SingleStream,0.875821,75.920,closed/Inspur/results/T4x1_TRT/resnet50/SingleStream
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,dlrm-99,dlrm-99,Offline,2145170.0,80.185,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/dlrm-99/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,dlrm-99,dlrm-99,Server,2104888.68,80.185,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/dlrm-99/Server
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,bert-99.9,bert-99.9,Offline,13790.8,90.86087496792462,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/bert-99.9/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,bert-99.9,bert-99.9,Server,11502.44,90.87601624418225,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/bert-99.9/Server
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,3d-unet-99.9,3d-unet-99.9,Offline,365.824,0.85320,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/3d-unet-99.9/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,bert-99,bert-99,Offline,26674.8,90.41426333537149,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/bert-99/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,bert-99,bert-99,Server,24757.49,90.31931800140137,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/bert-99/Server
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,ssd-resnet34,ssd-large,Offline,7925.97,20.111,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/ssd-resnet34/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,ssd-resnet34,ssd-large,Server,7546.07,20.111,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/ssd-resnet34/Server
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,3d-unet-99,3d-unet-99,Offline,365.824,0.85320,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/3d-unet-99/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Offline,303264.0,75.920,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,resnet50,resnet,Server,262305.32,75.920,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/resnet50/Server
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,dlrm-99.9,dlrm-99.9,Offline,2145170.0,80.185,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/dlrm-99.9/Offline
Inspur,on-premise,closed,datacenter,DGX-A100_A100-SXM4x8_TRT,dlrm-99.9,dlrm-99.9,Server,2104888.68,80.185,closed/Inspur/results/DGX-A100_A100-SXM4x8_TRT/dlrm-99.9/Server
Inspur,available,closed,datacenter,T4x20_TRT,3d-unet-99.9,3d-unet-99.9,Offline,146.616,0.85367,closed/Inspur/results/T4x20_TRT/3d-unet-99.9/Offline
Inspur,available,closed,datacenter,T4x20_TRT,3d-unet-99,3d-unet-99,Offline,146.616,0.85367,closed/Inspur/results/T4x20_TRT/3d-unet-99/Offline
Inspur,available,closed,datacenter,T4x8_TRT,dlrm-99,dlrm-99,Offline,282526.0,80.185,closed/Inspur/results/T4x8_TRT/dlrm-99/Offline
Inspur,available,closed,datacenter,T4x8_TRT,dlrm-99,dlrm-99,Server,250177.39,80.185,closed/Inspur/results/T4x8_TRT/dlrm-99/Server
Inspur,available,closed,datacenter,T4x8_TRT,3d-unet-99.9,3d-unet-99.9,Offline,60.4107,0.85367,closed/Inspur/results/T4x8_TRT/3d-unet-99.9/Offline
Inspur,available,closed,datacenter,T4x8_TRT,ssd-resnet34,ssd-large,Offline,1129.32,20.111,closed/Inspur/results/T4x8_TRT/ssd-resnet34/Offline
Inspur,available,closed,datacenter,T4x8_TRT,ssd-resnet34,ssd-large,Server,1049.06,20.111,closed/Inspur/results/T4x8_TRT/ssd-resnet34/Server
Inspur,available,closed,datacenter,T4x8_TRT,3d-unet-99,3d-unet-99,Offline,60.4107,0.85367,closed/Inspur/results/T4x8_TRT/3d-unet-99/Offline
Inspur,available,closed,datacenter,T4x8_TRT,resnet50,resnet,Offline,49650.9,75.920,closed/Inspur/results/T4x8_TRT/resnet50/Offline
Inspur,available,closed,datacenter,T4x8_TRT,resnet50,resnet,Server,46936.34,75.920,closed/Inspur/results/T4x8_TRT/resnet50/Server
Inspur,available,closed,datacenter,T4x8_TRT,dlrm-99.9,dlrm-99.9,Offline,282526.0,80.185,closed/Inspur/results/T4x8_TRT/dlrm-99.9/Offline
Inspur,available,closed,datacenter,T4x8_TRT,dlrm-99.9,dlrm-99.9,Server,250177.39,80.185,closed/Inspur/results/T4x8_TRT/dlrm-99.9/Server
Inspur,on-premise,closed,edge,DGX-A100_A100-SXM4x1_TRT,bert-99,bert-99,Offline,3369.08,90.41426333537149,closed/Inspur/results/DGX-A100_A100-SXM4x1_TRT/bert-99/Offline
Inspur,on-premise,closed,edge,DGX-A100_A100-SXM4x1_TRT,bert-99,bert-99,SingleStream,1.720624,90.39859909332506,closed/Inspur/results/DGX-A100_A100-SXM4x1_TRT/bert-99/SingleStream
Inspur,on-premise,closed,edge,DGX-A100_A100-SXM4x1_TRT,ssd-resnet34,ssd-large,Offline,992.919,20.111,closed/Inspur/results/DGX-A100_A100-SXM4x1_TRT/ssd-resnet34/Offline
Inspur,on-premise,closed,edge,DGX-A100_A100-SXM4x1_TRT,ssd-resnet34,ssd-large,SingleStream,1.766112,20.111,closed/Inspur/results/DGX-A100_A100-SXM4x1_TRT/ssd-resnet34/SingleStream
